name,description,price,category,brand,is_active
노트북,고성능 게이밍 노트북으로 최신 게임을 부드럽게 실행할 수 있습니다,1290000,전자제품,삼성,true
무선 마우스,인체공학적 디자인의 무선 마우스로 장시간 사용해도 편안합니다,35000,컴퓨터 액세서리,로지텍,true
키보드,기계식 키보드로 타이핑 감각이 뛰어납니다,89000,컴퓨터 액세서리,코리아,true
스마트폰,최신 프로세서와 고해상도 카메라를 탑재한 스마트폰입니다,950000,전자제품,애플,true
이어폰,노이즈 캔슬링 기능이 있는 무선 이어폰입니다,250000,오디오,소니,true
모니터,27인치 4K 해상도 모니터로 선명한 화질을 제공합니다,450000,전자제품,LG,true
책상,높이 조절이 가능한 스탠딩 데스크입니다,320000,가구,이케아,true
의자,인체공학적 디자인의 사무용 의자입니다,180000,가구,허먼밀러,true
마우스패드,대형 게이밍 마우스패드입니다,15000,컴퓨터 액세서리,코리아,true
웹캠,4K 화질의 웹캠으로 화상회의에 최적화되어 있습니다,120000,컴퓨터 액세서리,로지텍,true
